iteration,rpu_lift_pct
1,19.7039
2,10.9387
3,12.8781
4,18.1291
5,15.0815
6,8.9546
7,26.0549
8,15.043
9,13.0707
10,12.8238
11,12.933
12,14.0295
13,14.9551
14,18.9291
15,21.1102
16,22.2142
17,14.5047
18,11.4012
19,18.7545
20,10.3841
21,19.8182
22,25.1805
23,12.2029
24,13.6845
25,11.051
26,10.8657
27,18.6902
28,7.1427
29,18.0453
30,17.1395
31,12.579
32,15.7867
33,11.8011
34,16.9671
35,18.4389
36,13.8895
37,10.6671
38,13.3601
39,24.0931
40,11.1682
41,16.3133
42,17.9604
43,22.8325
44,23.6357
45,21.6687
46,17.4581
47,16.1397
48,7.8798
49,21.4231
50,19.033
51,14.2206
52,17.461
53,15.3159
54,20.3617
55,11.2058
56,8.9154
57,17.9268
58,11.4825
59,20.1138
60,13.3899
61,3.8889
62,15.0027
63,12.7073
64,7.1301
65,15.9812
66,16.0085
67,16.8771
68,14.4642
69,25.5817
70,2.2928
71,13.4844
72,14.4811
73,14.5292
74,19.6136
75,19.6803
76,12.13
77,9.6946
78,18.101
79,20.028
80,15.3435
81,10.6527
82,13.0388
83,12.2334
84,7.9411
85,20.7617
86,11.5076
87,15.8695
88,14.6004
89,12.3691
90,23.9629
91,16.7857
92,15.7585
93,12.6801
94,16.036
95,19.4538
96,8.8538
97,14.2677
98,14.7805
99,12.9449
100,19.3451
101,9.6837
102,17.8377
103,19.9973
104,15.5476
105,7.6608
106,10.6069
107,15.9802
108,20.9033
109,18.0036
110,14.4194
111,10.3032
112,13.7563
113,19.0097
114,18.8174
115,11.3232
116,19.1106
117,4.7682
118,12.7263
119,10.5974
120,7.0815
121,12.5104
122,18.6581
123,16.2304
124,15.3589
125,22.0653
126,9.2883
127,22.3735
128,13.903
129,5.8489
130,18.3929
131,14.9041
132,11.2594
133,12.3387
134,6.9128
135,8.4355
136,20.1885
137,15.052
138,20.0111
139,9.1528
140,11.8664
141,17.0792
142,16.6748
143,17.5384
144,22.0503
145,13.3837
146,12.5427
147,16.7691
148,9.7618
149,12.4707
150,18.1625
151,12.2676
152,14.2465
153,14.1139
154,16.5456
155,21.0377
156,13.6723
157,19.0219
158,16.9994
159,9.5825
160,25.7657
161,19.0961
162,19.6094
163,23.8728
164,15.8237
165,16.3077
166,21.4222
167,17.502
168,14.5343
169,15.8323
170,7.231
171,16.7366
172,27.6863
173,9.9294
174,7.6227
175,19.1427
176,7.969
177,13.6655
178,15.4568
179,22.5955
180,15.0043
181,18.1611
182,11.3253
183,13.0439
184,18.8069
185,14.3672
186,13.4159
187,4.4898
188,12.6066
189,8.2268
190,5.9766
191,12.4238
192,12.5903
193,18.2998
194,16.0015
195,16.6198
196,9.4355
197,18.4574
198,10.4956
199,17.8197
200,18.1798
201,10.4757
202,21.6568
203,16.2719
204,11.3832
205,8.6772
206,22.1455
207,15.664
208,13.3323
209,8.0493
210,9.8599
211,15.819
212,16.6444
213,17.2769
214,17.191
215,13.4257
216,21.898
217,8.8872
218,9.7509
219,14.7149
220,15.2427
221,13.231
222,9.9296
223,12.2787
224,17.5787
225,17.6629
226,12.5149
227,22.7321
228,15.4001
229,11.6283
230,11.8665
231,15.6229
232,10.4311
233,13.9572
234,11.131
235,9.6639
236,20.8686
237,14.9942
238,9.2571
239,12.8974
240,19.3225
241,23.5241
242,13.3611
243,10.3025
244,10.1222
245,17.3123
246,15.8914
247,6.4483
248,12.434
249,20.9444
250,4.9141
251,13.3096
252,11.9111
253,19.3066
254,20.0597
255,7.586
256,24.9824
257,11.2746
258,16.2951
259,11.4645
260,22.2731
261,15.0108
262,13.412
263,16.9539
264,18.3276
265,15.5567
266,18.1203
267,9.9134
268,12.0404
269,21.3103
270,18.3153
271,17.601
272,13.4418
273,15.2159
274,13.5426
275,5.2979
276,13.065
277,14.7346
278,17.1264
279,14.8948
280,12.6994
281,12.7719
282,20.3255
283,20.6741
284,16.57
285,22.9936
286,17.2932
287,10.6208
288,15.1429
289,12.5911
290,17.9569
291,12.1651
292,25.9559
293,23.197
294,16.4452
295,13.6441
296,21.9251
297,10.3443
298,8.5237
299,9.5101
300,20.5478
301,9.9936
302,15.7752
303,17.6506
304,13.7481
305,9.3485
306,16.3397
307,13.679
308,20.4787
309,21.0286
310,16.1377
311,23.4579
312,10.2011
313,13.0384
314,10.7926
315,14.9812
316,14.9189
317,16.1783
318,11.3868
319,17.4341
320,19.3233
321,14.965
322,19.1738
323,8.7642
324,15.9463
325,15.8859
326,20.1852
327,5.3774
328,22.1185
329,9.3767
330,16.8741
331,16.5695
332,20.3044
333,11.2606
334,19.2433
335,12.4863
336,14.9784
337,21.3298
338,10.2311
339,13.9352
340,18.1063
341,5.5789
342,11.989
343,14.9121
344,27.9528
345,9.6747
346,11.7417
347,8.7911
348,21.4713
349,8.4548
350,9.7473
351,11.022
352,10.7804
353,18.7135
354,13.7691
355,10.9514
356,16.6667
357,12.9829
358,16.5886
359,15.3177
360,14.7109
361,15.0198
362,10.8519
363,13.1311
364,12.88
365,10.7714
366,10.2262
367,6.9043
368,15.708
369,17.1679
370,15.8256
371,14.9237
372,12.4175
373,14.0303
374,11.0329
375,9.6956
376,8.8322
377,23.5361
378,20.897
379,10.2921
380,12.6521
381,21.4349
382,17.4353
383,10.9129
384,22.8071
385,18.3249
386,16.7231
387,18.1736
388,13.8602
389,15.6335
390,10.6362
391,23.5243
392,23.4395
393,13.0158
394,13.4442
395,16.3175
396,15.6148
397,10.5764
398,12.9905
399,18.5217
400,24.8024
401,10.0337
402,18.8972
403,19.311
404,16.5536
405,18.7761
406,19.8826
407,15.7573
408,15.9709
409,17.0038
410,17.5802
411,19.1241
412,16.9149
413,13.0596
414,21.1748
415,16.0832
416,15.8598
417,20.8401
418,16.1897
419,18.1971
420,14.6004
421,18.3735
422,15.0096
423,19.9205
424,14.9927
425,17.322
426,13.5095
427,15.5057
428,21.1068
429,13.8136
430,13.416
431,13.2255
432,16.9234
433,17.7243
434,18.7917
435,20.6191
436,18.8221
437,20.4099
438,16.0514
439,18.1385
440,25.5154
441,12.004
442,17.4692
443,13.6589
444,8.3865
445,10.3504
446,22.9111
447,25.0145
448,15.4458
449,20.2019
450,18.8224
451,10.6188
452,13.2238
453,20.8234
454,5.635
455,13.0016
456,17.4536
457,15.3736
458,14.5802
459,14.3024
460,13.1197
461,17.4654
462,17.0608
463,16.2589
464,5.3918
465,18.0469
466,22.1803
467,22.9337
468,10.2636
469,13.337
470,12.2322
471,14.7125
472,27.3526
473,15.9487
474,18.5981
475,18.5059
476,5.6122
477,16.635
478,4.9209
479,6.7727
480,18.0853
481,19.1222
482,18.4038
483,8.0625
484,10.9536
485,10.1005
486,6.6602
487,7.6908
488,13.0888
489,17.0534
490,14.3627
491,10.2958
492,23.6647
493,24.1174
494,18.4692
495,12.6441
496,11.8278
497,12.0284
498,19.814
499,11.2208
500,14.5664
501,5.9165
502,18.5792
503,3.6772
504,21.786
505,12.3338
506,9.7179
507,17.9281
508,16.5254
509,18.2755
510,18.1469
511,16.6224
512,17.1113
513,12.7374
514,12.0227
515,14.9358
516,11.6361
517,13.589
518,13.1887
519,15.5356
520,8.8234
521,14.2013
522,13.1088
523,17.1242
524,17.5944
525,14.4153
526,17.7278
527,11.8482
528,7.3503
529,18.0638
530,15.9791
531,17.1572
532,23.1671
533,15.245
534,11.3814
535,10.816
536,16.9586
537,21.605
538,9.1223
539,15.2088
540,11.7751
541,11.7187
542,17.0652
543,12.3046
544,17.3275
545,5.5521
546,20.3829
547,20.8083
548,15.9655
549,4.245
550,12.6199
551,16.1591
552,13.857
553,15.8749
554,16.2401
555,13.8695
556,18.0356
557,19.1312
558,16.7881
559,22.7793
560,16.3236
561,12.7507
562,10.794
563,18.4307
564,10.2232
565,21.1928
566,7.9488
567,21.2308
568,17.1023
569,8.2765
570,15.6011
571,15.6017
572,12.1959
573,10.6176
574,13.7401
575,19.5027
576,17.0901
577,18.2367
578,10.9261
579,17.0436
580,13.5942
581,16.8551
582,24.7118
583,9.0455
584,16.7211
585,9.868
586,25.7509
587,11.7748
588,16.6429
589,10.5741
590,13.853
591,11.1705
592,20.481
593,12.2201
594,8.6568
595,10.204
596,17.7289
597,11.0025
598,9.536
599,24.423
600,18.9693
601,16.6683
602,6.7058
603,13.9274
604,12.882
605,18.2701
606,15.4576
607,14.8265
608,10.5925
609,14.0018
610,17.8259
611,12.2685
612,11.3202
613,15.7644
614,10.7266
